symbol,price,change_24h,volume,high,low
BTC/USDT,88306.32,-0.943,11562431.8833343,89884.92,84856.07
ETH/USDT,3262.03,-1.339,3080586.560257,3438.68,3210.16
XRP/USDT,0.707,15.959,1790434.2467,0.7396,0.5978
BCH/USDT,427.0,-5.51,37655.181,474.5,418.7
LTC/USDT,77.03,-2.654,351355.19613,82.62,72.95
BNB/USDT,623.11,-3.382,1156665.67026,661.5,590.811
ADA/USDT,0.5655,-4.557,823373.27063,0.65,0.5499
BAT/USDT,0.1959,0.72,21562.1158,0.2036,0.1833
ETC/USDT,22.65,-5.428,51933.9152,24.55,21.61
XLM/USDT,0.1324,16.549,448665.754,0.1413,0.11
ZRX/USDT,0.3772,-0.711,24295.8565,0.3997,0.3465
DOGE/USDT,0.40857,12.771,14953893.0545113,0.43716,0.34
ATOM/USDT,5.318,-4.576,39560.28533,5.816,5.128
NEO/USDT,11.42,-8.347,47219.2483,12.66,11.06
VET/USDT,0.02669,-3.924,234209.7927613,0.0298,0.025
ONT/USDT,0.213,1.044,25682.0535,0.2289,0.1969
VTHO/USDT,0.001899,-7.366,105654.416468,0.002193,0.00188
MKR/USDT,1512.0,-0.787,18799.9628,1564.0,1434.0
ONE/USDT,0.01487,-6.771,89541.599483,0.01666,0.01428
STORJ/USDT,0.4898,-2.04,20462.6111,0.5203,0.4554
UNI/USDT,8.964,-1.732,192569.34162,10.767,8.651
SOL/USDT,211.2,-3.685,3842147.229108,224.53,204.88
FIL/USDT,4.194,-5.135,34878.03522,4.64,4.1
AAVE/USDT,175.35,-6.669,102069.53517,196.49,172.84
GRT/USDT,0.1888,-5.363,37028.3024,0.2085,0.1824
SHIB/USDT,2.683e-05,-1.577,3070553.50013246,3.031e-05,2.45e-05
AVAX/USDT,34.15,-3.694,473462.5567,37.63,32.72
DOT/USDT,5.291,-3.852,958850.32355,6.3,5.12
FTM/USDT,0.7565,-7.778,159639.6998,0.835,0.7208
USDC/USDT,0.999,0.1,736154.4996,1.0027,0.9902
MATIC/USDT,0.3977,-4.605,311387.85252,0.443,0.3767
MANA/USDT,0.3641,0.358,44894.8749,0.3959,0.3438
ALGO/USDT,0.1532,-1.606,75755.3968,0.1637,0.1447
LINK/USDT,14.0,-4.306,229412.75246,15.36,13.69
EOS/USDT,0.5684,0.887,13187.19199,0.5972,0.5373
ZEC/USDT,42.25,-5.205,12694.13839,44.74,39.83
ENJ/USDT,0.1701,1.492,33824.79846,0.1826,0.1562
NEAR/USDT,5.422,-2.112,279199.6062,5.747,4.95
LPT/USDT,11.511,-9.647,22969.43826,12.819,10.727
SLP/USDT,0.002827,-10.623,11693.767093,0.003586,0.002787
GALA/USDT,0.02723,-0.874,69967.7661,0.03166,0.02576
ENS/USDT,17.98,-9.557,29744.1546,20.28,16.94
APE/USDT,1.117,-3.122,34539.30019,1.236,1.033
FLUX/USDT,0.5938,-5.053,31575.442851,0.6398,0.5588
IMX/USDT,1.375,-2.758,102950.60258,1.714,1.256
THETA/USDT,1.422,-8.553,194129.6404,1.602,1.374
WAXP/USDT,0.04068,7.081,21267.89443,0.04068,0.03557
FET/USDT,1.359,-16.266,324484.2298,1.644,1.321
ICP/USDT,8.781,-6.991,109569.77466,9.67,8.577
OP/USDT,1.665,-15.267,31133.58668,1.97,1.615
ROSE/USDT,0.08099,-5.957,22888.615735,0.09056,0.07797
CELO/USDT,0.6853,-5.123,30136.52951,0.7385,0.6505
KDA/USDT,0.625,0.273,42122.972162,0.663,0.58
ACH/USDT,0.02242,-3.445,10778.80863,0.02399,0.02155
RNDR/USDT,4.818,3.769,14565.92294,4.818,4.55
LDO/USDT,1.206,-6.002,14201.20576,1.303,1.126
DGB/USDT,0.00679,-5.3,11525.795155,0.00738,0.00659
ASTR/USDT,0.0614,-3.611,10199.01622,0.0649,0.0566
QNT/USDT,64.1,-6.696,11824.4842,69.2,62.5
AXL/USDT,0.754,-6.799,14127.9997,0.851,0.738
APT/USDT,12.14,-4.56,53489.5209,13.19,11.57
MASK/USDT,3.255,5.068,12869.0839,3.761,3.001
MXC/USDT,0.0057,-2.73,10476.66318,0.00646,0.00547
JAM/USDT,0.00052,-1.141,22554.783452,0.000552,0.0005
STMX/USDT,0.00529,-13.279,13987.434885,0.0073,0.005289
USDT/USD,0.9969,-0.23,1169437.7527,1.0033,0.964
POLYX/USDT,0.2699,-1.532,29677.30306,0.3,0.2536
ARB/USDT,0.6345,-4.701,20662.32368,0.6844,0.26
FLOKI/USDT,0.00020887,16.271,2631016.16667903,0.00021827,0.00017158
HBAR/USDT,0.0623,8.65,263579.36204,0.0761,0.05308
ICX/USDT,0.1568,3.362,16003.54559,0.1601,0.1435
IOTA/USDT,0.1448,-0.686,21497.3466,0.1588,0.1362
RVN/USDT,0.02005,-0.546,45010.471663,0.02151,0.01784
WAVES/USDT,3.329,-1.158,27116.21059,3.592,3.196
XTZ/USDT,0.741,-0.537,12503.9323,0.769,0.693
ZIL/USDT,0.01799,-1.208,21384.58306,0.01855,0.01663
ORBS/USDT,0.02854,3.669,33909.78422,0.02918,0.02613
SUI/USDT,3.1167,-0.256,672139.0949,3.3316,2.8286
RENDER/USDT,7.031,2.508,197884.18881,7.764,6.548
