symbol,price,change_24h,volume,high_24h,low_24h,timestamp
ALICE/USDT,1.171,-7.94,4438.50951,1.273,1.057,2024-11-12 23:04:49
FORTH/USDT,3.025,-5.291,265.3552,3.323,3.025,2024-11-12 23:04:49
ASTR/USDT,0.0598,-4.473,10508.53434,0.0649,0.0566,2024-11-12 23:04:49
BTRST/USDT,0.332,-9.041,1536.6642,0.385,0.332,2024-11-12 23:04:49
GAL/USDT,2.24,0.0,200.5696,2.24,2.24,2024-11-12 23:04:49
SAND/USDT,0.2866,-8.9,7131.3509,0.3219,0.2849,2024-11-12 23:04:49
BAL/USDT,2.207,-2.345,1258.39434,2.353,2.127,2024-11-12 23:04:49
GLM/USDT,0.3439,-2.826,1013.48155,0.3666,0.3267,2024-11-12 23:04:49
CLV/USDT,0.0298,-11.494,7480.564978,0.03418,0.0298,2024-11-12 23:04:49
TUSD/USDT,,,0.0,,,2024-11-12 23:04:49
QNT/USDT,60.9,-10.835,13117.5434,68.6,60.2,2024-11-12 23:04:49
STG/USDT,0.3478,1.311,599.15956,0.3478,0.3075,2024-11-12 23:04:49
AXL/USDT,0.754,-8.161,13721.4467,0.851,0.738,2024-11-12 23:04:49
KAVA/USDT,0.4187,5.946,6642.60526,0.4585,0.386,2024-11-12 23:04:49
APT/USDT,11.53,-9.781,45261.4726,13.19,11.53,2024-11-12 23:04:49
MASK/USDT,3.093,0.749,11565.7932,3.761,3.024,2024-11-12 23:04:49
BOSON/USDT,0.287,-0.829,832.68792,0.2913,0.273,2024-11-12 23:04:49
POND/USDT,0.01118,-8.883,1769.45348,0.01227,0.01118,2024-11-12 23:04:49
MXC/USDT,0.00555,-5.932,12008.36686,0.00646,0.00545,2024-11-12 23:04:49
JAM/USDT,0.0005,-6.542,22892.194062,0.000552,0.0005,2024-11-12 23:04:49
TRAC/USDT,0.7216,-2.985,866.5992,0.7596,0.7216,2024-11-12 23:04:49
PROM/USDT,5.252,-5.267,1016.39,5.544,5.252,2024-11-12 23:04:49
DIA/USDT,0.7635,-16.594,7761.57129,0.9216,0.7635,2024-11-12 23:04:49
LOOM/USDT,0.07078,14.161,5690.05161,0.0721,0.05743,2024-11-12 23:04:49
STMX/USDT,0.00529,-8.809,8452.596517,0.0073,0.005289,2024-11-12 23:04:49
POLYX/USDT,0.2587,-10.484,17128.24138,0.2904,0.2536,2024-11-12 23:04:49
IOST/USDT,0.006036,-1.373,1567.190762,0.006198,0.005674,2024-11-12 23:04:49
FLOKI8/USDT,,,0.0,,,2024-11-12 23:04:49
ARB/USDT,0.611,-8.023,22398.38601,0.6844,0.26,2024-11-12 23:04:49
FLOKI/USDT,0.00019448,7.347,2715992.14492326,0.00021827,0.00017158,2024-11-12 23:04:49
XEC/USDT,3.901e-05,-10.753,7133.31002587,4.414e-05,3.901e-05,2024-11-12 23:04:49
BLUR/USDT,0.242,-12.319,2593.8042,0.278,0.242,2024-11-12 23:04:49
ANKR/USDT,0.03087,0.882,11286.249123,0.03286,0.0275,2024-11-12 23:04:49
DAI/USDT,0.9782,-0.184,1443.655294,1.0,0.9678,2024-11-12 23:04:49
DASH/USDT,25.44,-1.624,5682.89783,27.09,24.78,2024-11-12 23:04:49
HBAR/USDT,0.05883,2.634,281618.09603,0.0761,0.05308,2024-11-12 23:04:49
